"Time","Message","Severity"
"28-03-2024 02:39","Starting ConfigAwsConnector at: 03/28/2024 02:39:56","Information"
"28-03-2024 02:39","Log created: C:\Users\ServerX\Downloads\ConfigAwsS3DataConnectorScripts\Logs\AwsS3-03280239.csv","Information"
"28-03-2024 02:39","To begin you will choose the AWS logs to configure.","Information"
"28-03-2024 02:40","Checking AWS CLI configuration...","Information"
"28-03-2024 02:40","Starting CloudTrail data connector configuration script","Verbose"
"28-03-2024 02:40","This script creates an Assume Role with minimal permissions to grant Azure Sentinel access to your logs in a designated S3 bucket & SQS of your choice, enable CloudTrail Logs, S3 bucket, SQS Queue, and S3 notifications.","Information"
"28-03-2024 02:40","Notes:","Information"
"28-03-2024 02:40","* You can find more information about the script in https://github.com/Azure/Azure-Sentinel/blob/master/DataConnectors/AWS-S3/README.md","Information"
"28-03-2024 02:40","* If a resource name(like: S3, Sqs, Kms) already exists, the script will use the available one and not create a new resource","Information"
"28-03-2024 02:40","Checking existing OIDC provider","Information"
"28-03-2024 02:40","Executing Set-RetryAction","Verbose"
"28-03-2024 02:40","Executing: aws sts get-caller-identity --query 'Account' --output text","Verbose"
"28-03-2024 02:40","154511248558","Verbose"
"28-03-2024 02:40","Executing: aws iam get-open-id-connect-provider --open-id-connect-provider-arn 'arn:aws:iam::154511248558:oidc-provider/sts.windows.net/33e01921-4d64-4f8c-a055-5bdaffd5e33d/' 2>&1","Verbose"
"28-03-2024 02:40","{     ""Url"": ""sts.windows.net/33e01921-4d64-4f8c-a055-5bdaffd5e33d/"",     ""ClientIDList"": [         ""api://1462b192-27f7-4cb9-8523-0f4ecb54b47e""     ],     ""ThumbprintList"": [         ""626d44e704d1ceabe3bf0d53397464ac8080142c""     ],     ""CreateDate"": ""2024-03-27T20:17:07.684000+00:00"",     ""Tags"": [] }","Verbose"
"28-03-2024 02:40","OIDC provider already exists","Information"
"28-03-2024 02:40","Approved client IDs: api://1462b192-27f7-4cb9-8523-0f4ecb54b47e","Information"
"28-03-2024 02:40","Client ID api://1462b192-27f7-4cb9-8523-0f4ecb54b47e is already approved","Information"
"28-03-2024 02:40","Assume role definition","Information"
"28-03-2024 02:40","Executing Set-RetryAction","Verbose"
"28-03-2024 02:40","Executing: aws iam get-role --role-name AzureSentinelRoleNew 2>&1| Out-Null","Verbose"
"28-03-2024 02:40","Using role name: OIDC_AzureSentinelRoleNew with OIDC prefix because OpenID Connect authentication is being used.","Information"
"28-03-2024 02:40","You must specify the the Azure Sentinel Workspace ID. This is found in the Azure Sentinel portal.","Information"
